Date,"Total Users","Full Members",Guests,"Daily Active Users","Daily Users Posting Messages","Weekly Active Users","Weekly Users Posting Messages","Messages in Public Channels","Messages in Private Channels","Messages in Shared Channels","Messages in DMs","% of Messages Posted in Public Channels","% of Messages Posted in Private Channels","% of Messages Posted in DMs","% of Messages Read in Public Channels","% of Messages Read in Private Channels","% of Messages Read in DMs",Name,"Public Workspace Channels","Messages Posted"
2016-12-14,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3
2016-12-15,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-16,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-18,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-19,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-20,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2016-12-31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-01-31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-02-28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2017-03-23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
